time,price
2025-12-11 14:31:00+00:00,89957.9
2025-12-11 14:32:00+00:00,90076.0
2025-12-11 14:33:00+00:00,90205.55
2025-12-11 14:34:00+00:00,89974.0
2025-12-11 14:35:00+00:00,90048.08
2025-12-11 14:36:00+00:00,90224.48
2025-12-11 14:37:00+00:00,90320.0
2025-12-11 14:38:00+00:00,90322.05
2025-12-11 14:39:00+00:00,90392.0
2025-12-11 14:40:00+00:00,90391.14
2025-12-11 14:41:00+00:00,90456.0
2025-12-11 14:42:00+00:00,90453.99
2025-12-11 14:43:00+00:00,90449.9
2025-12-11 14:44:00+00:00,90217.99
2025-12-11 14:45:00+00:00,90285.92
2025-12-11 14:46:00+00:00,90290.0
2025-12-11 14:47:00+00:00,90217.0
2025-12-11 14:48:00+00:00,90206.35
2025-12-11 14:49:00+00:00,90016.0
2025-12-11 14:50:00+00:00,89843.66
2025-12-11 14:51:00+00:00,89685.87
2025-12-11 14:52:00+00:00,89786.3
2025-12-11 14:53:00+00:00,89640.0
2025-12-11 14:54:00+00:00,89575.06
2025-12-11 14:55:00+00:00,89483.48
2025-12-11 14:56:00+00:00,89473.4
2025-12-11 14:57:00+00:00,89315.99
2025-12-11 14:58:00+00:00,89488.0
2025-12-11 14:59:00+00:00,89607.0
2025-12-11 15:00:00+00:00,89574.0
2025-12-11 15:01:00+00:00,89411.96
2025-12-11 15:02:00+00:00,89539.0
2025-12-11 15:03:00+00:00,89491.66
2025-12-11 15:04:00+00:00,89747.91
2025-12-11 15:05:00+00:00,89713.0
2025-12-11 15:06:00+00:00,89809.0
2025-12-11 15:07:00+00:00,90145.0
2025-12-11 15:08:00+00:00,90011.67
2025-12-11 15:09:00+00:00,90116.0
2025-12-11 15:10:00+00:00,90061.0
2025-12-11 15:11:00+00:00,89984.0
2025-12-11 15:12:00+00:00,90132.01
2025-12-11 15:13:00+00:00,90190.31
2025-12-11 15:14:00+00:00,90155.0
2025-12-11 15:15:00+00:00,90144.0
2025-12-11 15:16:00+00:00,90126.06
2025-12-11 15:17:00+00:00,90120.42
2025-12-11 15:18:00+00:00,90240.9
2025-12-11 15:19:00+00:00,90245.0
2025-12-11 15:20:00+00:00,90299.03
2025-12-11 15:21:00+00:00,90444.0
2025-12-11 15:22:00+00:00,90296.23
2025-12-11 15:23:00+00:00,90306.0
2025-12-11 15:24:00+00:00,90449.5
2025-12-11 15:25:00+00:00,90598.46
2025-12-11 15:26:00+00:00,90510.9
