timestamp,open,high,low,close,volume,symbol
2025-12-19 02:50:00+00:00,85774.0,85929.06,85725.61,85891.46,59.07646,BTC
2025-12-19 02:55:00+00:00,85891.95,85891.95,85643.43,85643.44,26.81665,BTC
2025-12-19 03:00:00+00:00,85643.44,86285.71,85610.47,86199.22,273.62447,BTC
2025-12-19 03:05:00+00:00,86199.2,86374.94,85990.5,86096.49,129.65694,BTC
2025-12-19 03:10:00+00:00,86096.49,86474.24,86003.52,86361.99,165.16142,BTC
2025-12-19 03:15:00+00:00,86362.0,86409.68,86117.04,86117.05,65.47025,BTC
2025-12-19 03:20:00+00:00,86117.05,86560.4,85968.8,86498.36,119.34511,BTC
2025-12-19 03:25:00+00:00,86498.36,87155.17,86498.35,87146.04,362.7926,BTC
2025-12-19 03:30:00+00:00,87146.04,87568.99,87139.76,87186.0,383.94843,BTC
2025-12-19 03:35:00+00:00,87186.0,87268.32,86778.25,86970.89,140.45943,BTC
2025-12-19 03:40:00+00:00,86970.89,87300.0,86940.0,87041.93,78.13913,BTC
2025-12-19 03:45:00+00:00,87041.94,87324.21,87035.82,87279.13,117.24523,BTC
2025-12-19 03:50:00+00:00,87279.13,87330.26,87050.0,87050.01,92.59989,BTC
2025-12-19 03:55:00+00:00,87050.01,87093.22,86700.0,86891.39,152.43743,BTC
2025-12-19 04:00:00+00:00,86891.39,87208.7,86846.15,86951.42,123.35768,BTC
2025-12-19 04:05:00+00:00,86951.42,87135.94,86942.66,87128.08,74.22552,BTC
2025-12-19 04:10:00+00:00,87128.08,87380.0,87088.34,87362.39,130.78863,BTC
2025-12-19 04:15:00+00:00,87362.39,87378.31,87250.0,87278.68,50.64155,BTC
2025-12-19 04:20:00+00:00,87278.67,87290.73,87072.93,87092.61,62.94174,BTC
2025-12-19 04:25:00+00:00,87092.6,87211.0,87032.6,87049.82,46.21115,BTC
2025-12-19 04:30:00+00:00,87049.81,87204.89,87032.6,87117.68,31.97163,BTC
2025-12-19 04:35:00+00:00,87117.67,87132.67,86969.27,87029.17,56.81338,BTC
2025-12-19 04:40:00+00:00,87029.17,87074.0,86964.99,86982.06,31.8748,BTC
2025-12-19 04:45:00+00:00,86982.06,87118.2,86982.06,87102.96,32.24406,BTC
2025-12-19 04:50:00+00:00,87102.96,87125.72,87044.67,87099.65,20.31738,BTC
2025-12-19 04:55:00+00:00,87099.64,87116.4,87053.28,87103.34,29.67872,BTC
2025-12-19 05:00:00+00:00,87103.34,87183.6,86989.72,87091.34,38.54888,BTC
2025-12-19 05:05:00+00:00,87091.34,87091.35,86864.38,86914.0,121.47282,BTC
2025-12-19 05:10:00+00:00,86914.0,87026.71,86914.0,86992.03,81.51133,BTC
2025-12-19 05:15:00+00:00,86992.02,86992.03,86845.0,86876.86,59.34314,BTC
2025-12-19 05:20:00+00:00,86876.86,86884.65,86788.37,86825.29,34.53661,BTC
2025-12-19 05:25:00+00:00,86825.29,86905.75,86744.48,86764.94,62.14041,BTC
2025-12-19 05:30:00+00:00,86764.94,86797.8,86647.51,86702.76,119.35656,BTC
2025-12-19 05:35:00+00:00,86702.77,86908.0,86702.76,86881.61,73.93903,BTC
2025-12-19 05:40:00+00:00,86881.6,86952.35,86881.6,86893.97,31.98861,BTC
2025-12-19 05:45:00+00:00,86893.98,87027.0,86893.97,87019.88,32.20873,BTC
2025-12-19 05:50:00+00:00,87019.88,87223.98,87004.05,87112.79,65.31331,BTC
2025-12-19 05:55:00+00:00,87112.79,87181.66,87053.36,87139.95,77.39945,BTC
2025-12-19 06:00:00+00:00,87139.95,87139.95,87007.34,87034.33,33.13449,BTC
